venue_id,venue_name,veunue_category
4b999783f964a520078635e3,Bijou Nails,Nail Salon
4b672c06f964a520453f2be3,Greyhound Bus Terminal,Bus Station
4a0c2e7bf964a52014751fe3,New York Hilton Midtown,Hotel
4eb06ec4b8f7116f211a40b5,Gateway Ob/gyn Associates,Doctor's Office
528b65eb498e12f0376394bd,Barilla Restaurants,Italian Restaurant
4f56a01fe4b0c3b3a770ee36,Clyde Frazier's Wine and Dine,American Restaurant
56097c3c498e8dec31ac3bb7,Taqueria Acatlan,Taco Place
4cd3f20d9828b60cc31ad884,"The Bronx, NY",County
4bd9abb10115c9b6fa1c7880,Brooklyn Cruise Terminal,Pier
4bd44b84a8b3a5937e7f6b5f,MetLife Stadium,Football Stadium
4e579226d4c0fccb89aacd1a,Whitehall High School,High School
4b8f519df964a520485133e3,Dunkin' Donuts,Donut Shop
4d1eb33e8629224b235a0587,"Rutherford, NJ",City
53effc79498eddd22101127d,Nocciola Ristorante,Italian Restaurant
4a356807f964a520f59c1fe3,Westchester Marriott,Hotel
55de5e2b498eb54e65d9daff,Van Leeuwen Artisan Ice Cream,Ice Cream Shop
4ea32f95003934222ec01026,Port Richmond,Neighborhood
40f1d480f964a5206a0a1fe3,High Line,Park
56564360498e95bfd91acc0b,Merchants Woodfired Pizza and Bistro,Bistro
4cd9c8cc8728721e620f1489,Cheeburger Cheeburger,Burger Joint
4cb5040ff6616dcb62c2d408,Trio Tavern,Bar
4b58c03df964a5201d6928e3,30 Rockefeller Plaza,Building
4ba698d7f964a520906139e3,Parvin State Park,Park
4c993809292a6dcb057ac476,Pho Da Nang Vietnamese Restaurant,Vietnamese Restaurant
4a4e8a44f964a5209fae1fe3,Christopher Morley Park,Park
4f61a89b10812ca122bddfc0,"125th Street & Lenox Avenue (Malcolm X / 7th Avenue) (Manhattan, NY)",Intersection
51f2d96a498e047fb08ea912,Trattoria Il Mulino,Italian Restaurant
52ebfb8c498e5a506e8687be,Living Faith Community Church Manhasset,Church
4ab5fbadf964a520457620e3,Hermon MacNeil Park,Park
4bca0ac4511f9521e4ddaec7,Arthur Von Briesen Park,Park
563bcbd7cd109bb140edc08a,NeueHouse Studio,Building
4dbefc5393a08f9274f8741e,NAC Hoffman Lounge,College Arts Building
4f82f610e4b042dc232269ea,Downtown Rochester,Neighborhood
5317814b498e8f1f5aa1f68a,New York Kimchi,Korean Restaurant
4de066a48877aab7fe4a99a9,"Montauk, NY",Town
49d5651df964a520915c1fe3,Nizza,Pizza Place
53da870c498e1bfadb3b6a31,Sarku Japan,Japanese Restaurant
4e07a3a052b165b7d7afd763,My Boat Lucky 1 @ Evers Marina,Harbor / Marina
4e67f20e8877dfcf3063f687,The Olde English Pub & Pantry,Pub
4a676435f964a52054c91fe3,Niketown,Sporting Goods Shop
