venue_id,venue_name,veunue_category
4a42a955f964a5201aa61fe3,Vanderbilt YMCA,Non-Profit
53e13c12498e5dfef194deb1,CKO Kickboxing,Boxing Gym
4b6c7919f964a520113d2ce3,Ward Pound Ridge Reservation,Park
4b1be31cf964a52095fe23e3,Bamboo Garden Restaurant,Chinese Restaurant
4bc4164edce4eee1f2ed719d,Hyatt Place Princeton,Hotel
4b4a6facf964a520928726e3,Stella Ristorante,Italian Restaurant
522760e411d2e8423d391d51,David Barton Gym,Gym
4daab34b43a1128196fe7329,"Teaneck, NJ",City
4e8e471cb8f7c08295859c3a,Me and Tommy's,Italian Restaurant
4c7928f0df08a1cd929ad95d,Cafeteria - Borough of Manhattan Community College (BMCC),College Cafeteria
4b6f3898f964a52012e52ce3,Pine Hill Arms,American Restaurant
4dd67a228130756995aa5161,Fairfield Inn & Suites New York Brooklyn,Hotel
4e25b4b7b61ceeea677e11f9,Rite Aid,Drugstore / Pharmacy
4bf2b6e282002d7f75dbd0bb,"Wayne, NJ",City
4bccaa77511f9521086ab3c7,Social Security Administration,Government Building
4b998a8ff964a520098235e3,ABC Kitchen,New American Restaurant
4c3d106fb169c9b6d3a24668,"Jersey City, NJ",City
441e57d6f964a52077311fe3,O'Lunney's,Pub
4b661dc5f964a52089142be3,Walmart,Big Box Store
4ba66960f964a5209c4f39e3,Warinanco Park,Park
4a3d4aecf964a52012a21fe3,St. Patrick's Cathedral,Church
4baaabe6f964a520987e3ae3,CVS/pharmacy,Drugstore / Pharmacy
4a9a6a7af964a520ba3120e3,Courtyard New York Manhattan/Midtown East,Hotel
505f81d6e4b08a8b45c006d1,"Floral Park, NY",Neighborhood
4cd87d2d1647a0930719e24c,Club Fit,Gym / Fitness Center
4a39688af964a520699f1fe3,China Fun,Chinese Restaurant
4c18e7d34ff90f4716100f49,Aria Wine Bar,Wine Bar
4bb3db7d42959c743b8d222c,ShopRite,Supermarket
49ee54faf964a5204d681fe3,Mimi's Hummus,Middle Eastern Restaurant
4ba170e6f964a52054b737e3,Intrinsic Cafe,Café
