venue_id,venue_name,veunue_category
4af6e844f964a5200b0422e3,Nuthouse Hardware,Hardware Store
4a895e33f964a520ed0720e3,110 Wall Street,Office
4459f9bff964a520e1321fe3,230 Fifth Rooftop Lounge,Lounge
50f7488ee4b0618c7861d739,PowerBack Rehabilitation,Medical Center
4af6e841f964a5200a0422e3,Gap,Clothing Store
51aeab5f498e737b739631b9,Hell's Kitchen,Neighborhood
4f366eec0cd62ecedc60c62c,Five Guys,Burger Joint
4ab26766f964a520146b20e3,Starbucks,Coffee Shop
4bc200a7abf4952198c0c193,Stewart's of Wall,Burger Joint
4ab52b10f964a520f37220e3,Artuso's,Bakery
4f3345eae4b0dd592a867103,East Gate Chinese and Japanese Restaurant,Chinese Restaurant
4adb6119f964a520a72621e3,B&H Photo Video,Camera Store
4bc72ae7af07a593909c7e2d,TriBeCa,Neighborhood
4af318f0f964a5209fea21e3,Graybar,Business Service
4bc333e24cdfc9b6adf89621,Keeler Motor Car Company,Car Dealership
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
4a19c1def964a520497a1fe3,Terminal 4,Airport Terminal
4dea80c2fa76cc1b8ae72510,Governors Island,Island
56748ba8498ecd2d66817d4d,etta salon,Salon / Barbershop
4bafd015f964a520d4223ce3,Great Wall Restaurant,Chinese Restaurant
500c38bde4b0ba42c27f07da,Logan Township,City
4e38a2cfbd415d9f63d710ed,Dunkin' Donuts,Donut Shop
4d28b4a28292236aedf91bbb,Columbia University Hammer Health Science,College Science Building
5367e4be498e539664e2bb09,Steuben Brewing Company,Brewery
54f9f0e6498e4e163ca8937a,Indikitch,Indian Restaurant
4baf4e03f964a520bcf63be3,Dunkin' Donuts,Donut Shop
4b7ae18ff964a5205f432fe3,Rode's Fireside Restaurant,American Restaurant
4b4756c3f964a520422f26e3,Starbucks,Coffee Shop
4bb4c14886a8d13a0bcdde7f,Brooklyn Acupuncture Project,Acupuncturist
4d671ff1709bb60c2d8da614,"Stony Brook, NY",Village
49b7ed6df964a52030531fe3,Times Square,Plaza
4e505490483bb770491d7efc,Old Baku,Caucasian Restaurant
49e33171f964a5206a621fe3,Wave Hill,Garden
4d3c9ef499c22d43c7db614b,Garden State Parkway Park & Ride,Bus Line
4c32ad67213c2d7fdae2355d,Dunkin Donuts,Donut Shop
4d2cbff3b47d2c0fb25f8594,QQ Nails and Spa,Nail Salon
4ce1a99adf986ea8cebaed16,Dr. Orlando Edreira Academy School No. 26,School
4e2461bcc65b2b5e3563cd32,Coopers Deli & Liquors,Deli / Bodega
4c2e614a452620a17ebe1b0f,Volkswagon Of Freehold,Car Dealership
4b8968f3f964a520993332e3,College Diner,Diner
4da21737bf22a143890dabf8,"Glen Ridge, NJ",City
4ee7a240be7b5922f8f9c083,World Plaza,Office
4fa56506e4b039aeeb5bb3a2,Hoop Group Headquarters,Gym
4da1c9d32939b1f79b0ffc56,Soaring Eagles Golf Course,Golf Course
4f29cf06e4b022d4180801f3,Jin Ramen,Noodle House
4fcf679be4b04a202ee01857,The Daily Meal,Office
4f668bd6e4b041039f9f141b,Majlis Hookah Lounge & Cafe,Hookah Bar
4ad36f64f964a52067e420e3,Haandi,Indian Restaurant
4e5c09011f6e89370a22a4e1,"Jamaica, NY",Neighborhood
