venue_id,venue_name,veunue_category
4af4acb5f964a520f9f421e3,Time Warp Comics & Games,Bookstore
50ef29f1e4b0e73fdcea6daa,Crave Espresso Bar,Café
49de0156f964a52021601fe3,Metro North - Harlem - 125th Street Station,Train Station
566dd692498eadbfb75805ef,TMPL,Gym
4a735601f964a5202fdc1fe3,Freehold Raceway Mall,Shopping Mall
412d2800f964a520df0c1fe3,Central Park,Park
4ebf1a8177c885a64e25ea4f,Angelina's Lounge and Restaurant,Italian Restaurant
4bc41b68dce4eee16cf1719d,Cottonwood Motel,Hotel
5339902b498eadeadfdee39a,AMG Parade,Office
4a513b17f964a520d2b01fe3,LIRR - Jamaica Station,Train Station
4adf2f99f964a520247821e3,US Post Office,Post Office
4c02cad10d0e0f47baa9019a,Fulton Stall Market,Flea Market
564be370498e10684511d59c,The Ditty,Bar
4cca91747965b60cb14e868a,1075 Park Avenue,Building
4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant,Chinese Restaurant
4dab7425fa8cc764974da770,Bedford-Stuyvesant,Neighborhood
50ddaa1ee4b0b8da1c2c7da1,Just Salad,Salad Place
49e28bbcf964a5203a621fe3,Court Street Bagels,Bagel Shop
4eefc305be7ba3ed7ae89c9e,Lillie's Times Square,Bar
4bbfe080b492d13a4088a360,Golden Pheasant,American Restaurant
4b41f210f964a5208dca25e3,Thomson Reuters,Office
4b0d8b6bf964a520b14a23e3,Souen SoHo,Vegetarian / Vegan Restaurant
4b461735f964a5200c1626e3,UM (Universal McCann),Office
56999f08498e55968db092ad,SUNNYVALE Brooklyn,Bar
4b842e5cf964a520fd2531e3,Robert's Pizzeria,Pizza Place
4babef45f964a520ead63ae3,Lhasa Fast Food,Dumpling Restaurant
4c5f178a1e5cd13a0aaa9eed,The Belvedere East,Real Estate Office
4c7aaba0bd346dcbe933f9ef,The Fork in the Road,Sculpture Garden
4e31e75fb0fbb985a508f8bf,Sayreville Soccer Complex,Soccer Field
