venue_id,venue_name,veunue_category
4b61fb03f964a520c22e2ae3,Bloomingdale's,Department Store
4a2bec19f964a520f1961fe3,Hee Win Lai / Delight 28,Chinese Restaurant
42911d00f964a520f5231fe3,New York Penn Station,Train Station
4b512a16f964a520844527e3,Wild Rover Irish Pub,Irish Pub
4c4ef14392b6a593ec4ac170,Bronx Lebanon - Fulton Division,Medical Center
50c88888e4b0da01b580b0c0,Deli Llama,Deli / Bodega
427c0500f964a52097211fe3,The Metropolitan Museum of Art,Art Museum
4ae1d506f964a520c38721e3,A Taste of Seafood,Seafood Restaurant
4baae0eef964a520bc8b3ae3,New York Sports Club,Gym
4bc90384fb84c9b65d541a3e,T.J. Maxx,Department Store
4b4a518bf964a520b18326e3,Duane Reade,Drugstore / Pharmacy
3fd66200f964a52022e51ee3,Zum Schneider,German Restaurant
4af21f0bf964a52002e621e3,Synergy Fitness Clubs,Gym / Fitness Center
4b9b3d0ff964a5209bfb35e3,Barrister Cigars,Smoke Shop
4a19d1edf964a5205a7a1fe3,The Halal Guys,Food Truck
4cb2782c562d224bb1302788,Breatheless GoGo,Strip Club
4b6cd8b7f964a520c3582ce3,Bowl A Roll Lanes,Bowling Alley
4caf2a011463a1435b2992a9,Master Hardware,Hardware Store
52e3f701498eb11ab8cb510f,Underline Coffee,Coffee Shop
4d23ac1fcc84721eb35862f6,Pueblo Supermarket,Supermarket
4b60a7bcf964a5208af229e3,Key Food,Grocery Store
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
51f3e9cb498e7ae2d81f4b43,FD's Income Tax & Immigration Services,Office
4c0fcb53d64c0f47905b2a5d,Bath & Body Works,Miscellaneous Shop
4d6d3bce125eb60c985e324e,360i,Advertising Agency
4b454c63f964a520240a26e3,The Wallace Center & RIT Libraries,College Library
4b9a9f22f964a5201dc735e3,Wendy's,Fast Food Restaurant
43125000f964a52058271fe3,Pegu Club,Cocktail Bar
49e330a9f964a52069621fe3,SVA Theatre,College Theater
4abed54df964a5202a9020e3,Starbucks,Coffee Shop
4bd44b84a8b3a5937e7f6b5f,MetLife Stadium,Football Stadium
4ba10c3cf964a520669237e3,Chai Thai Restaurant,Thai Restaurant
4bf075c321072d7f3401208b,Elmwood Park Memorial High School,High School
