venue_id,venue_name,veunue_category
4aaeb93ef964a5200d6320e3,Hotel Pennsylvania,Hotel
4c0f9edf336220a18c07ce77,Sunburst gymnastics,Gymnastics Gym
4be712e7910020a162fdd414,Connelly's Cove,American Restaurant
4bebf782a9900f47fb5c1840,Park Terrace Deli,Deli / Bodega
4c62c56aec94a5933e072aca,FYI Cafe,Food Court
4ae2efbbf964a520b78f21e3,Michaels,Arts & Crafts Store
4b92d391f964a5205c1f34e3,THE SUTTON,Residential Building (Apartment / Condo)
51d0cb80ccda3be657070223,sweetFrog,Dessert Shop
520b8bb411d273d89fe0b8a1,American Whiskey,Restaurant
4c326b6c213c2d7f1a75355d,Bronx Park East,Park
4c01d8afb58376b0d1e1443c,Shipwreck Pirate Mini Golf,Golf Course
4a7b02b9f964a520cbe91fe3,Deno's Wonder Wheel,Theme Park Ride / Attraction
4ca900ee14c3370482f2d93b,BP,Gas Station
4acb4ef6f964a52073c320e3,Chelsea Animal Hospital,Veterinarian
4cc5784682388cfabc847535,Q58 Grand Avenue + Queens Blvd,Bus Station
4a12eb1ff964a52099771fe3,Dhaba,Indian Restaurant
4dce6bd445ddbe15f887c1b0,Tuckahoe Turf,NA
541c9b0f498e5719ff8129f8,Park Avenue Autumn/Winter/Spring/Summer,American Restaurant
502a50a6011ce8eabd5fe3d5,Du Jour Bakery,Bakery
4bae7ee0f964a52061b93be3,No Pork Halal Kitchen,Chinese Restaurant
4af5ce48f964a5200ffd21e3,Staples,Paper / Office Supplies Store
4b6cd347f964a52039572ce3,Massage Envy - Edgewater,Spa
506a8e9fe889a4d6a388a7ba,Aldi,Supermarket
49f5135cf964a5208e6b1fe3,"Intrepid Sea, Air & Space Museum",History Museum
4eda26db46907c1b4250c3f0,177th Fighter Wing Headquarters Building,Military Base
5172f7f3e4b0cf8b8c0fefcf,The Burger Barn,American Restaurant
4f236efee4b0dc27b8705d10,Dabar Tabernacle Of Praise,General Entertainment
4e33fc7662845cff5a44b21d,East New York,Neighborhood
4ba4fad7f964a52099cb38e3,Another Fork in the Road,Diner
4cfba7852d80a143f0a44cd8,Summer Wind,Hotel
4b8e9a0af964a5203b2b33e3,Checkers,Burger Joint
4b64d9caf964a520ead42ae3,Market Bistro,Supermarket
4bafcd9ef964a5200c223ce3,Chittenango Travel Plaza,Rest Area
4f6e4bcee4b0dca2e13ba7d1,Hyatt Union Square New York,Hotel
4c65cb1118b676b01954ae0e,DiMatteo Vineyards,Vineyard
4dd7d3e845ddced8208ffa61,"Queens, NY",County
4d5062b04015b1f769bb65cf,Five Guys,Burger Joint
4c56d46c7329c92878658d80,Rite Aid,Drugstore / Pharmacy
4d8dfba8d00a6ea8e7d9ad4f,Club 7 By Iowa Sports,Gym
55be48b0498e64e8290a2f98,Tiger Mountain,Mountain
4b78aba2f964a52026dd2ee3,Crystal Springs Country Club,Golf Course
4b44cc03f964a52076fc25e3,Iron Gate Cafe,Café
4ecc046b0e61aaf0384f19c4,Think Coffee,Coffee Shop
4b147b14f964a520aca323e3,The Lawrenceville School,High School
4a6f4fd8f964a520d8d51fe3,Natural Tofu,Korean Restaurant
4e5e3db7d4c08cf7f58a6794,PS 186X,School
4bd7c5485cf276b0160b9c00,Residence Inn Yonkers Westchester County,Hotel
4c617e4ea6ce9c74c3a7efd6,Morris Animal Inn,Pet Service
4ea832fe8b8154b19ffa31ad,Hakkasan,Chinese Restaurant
54393961498e8986492d5b67,Barry's Bootcamp NoHo,Gym
4a68e9a1f964a5203ecb1fe3,Supremo Food Market,Supermarket
52ed892c498e045e686d6a50,Yeah Shanghai Deluxe,Shanghai Restaurant
4be33dd4b02ec9b6d6f64ec0,Farmers Pizza & Grill,Pizza Place
4b2929c1f964a5200f9a24e3,NJT - Delawanna Station (MBPJ),Train Station
4c6a361fc946e21ea73eec8e,Greenpoint,Neighborhood
4d8713e29324236ae9deee0e,Journal Square Bus Terminal,Bus Station
4ae8906ef964a52071b021e3,World Trade Center PATH Station,Train Station
4bda21ef3904a593314d459e,Matawan Aberdeen Middle School,Middle School
4c379bb51e06d13aba42763e,Barber Shop 72,Salon / Barbershop
4ad27ccff964a520e3e120e3,17 Frost Gallery,Art Gallery
4afaede8f964a520a01922e3,The New Victory Theater,Theater
51aeab5f498e737b739631b9,Hell's Kitchen,Neighborhood
4bfc75d1da7120a114234afd,Rutherford High School,Playground
4c2f7558452620a16d881d0f,Harbor View Restaurant,Seafood Restaurant
4e2ca88afa76bbf847e6886c,Jolie Cantina,French Restaurant
4d0fed17c3dc370464b83574,"Rosedale, NY",Neighborhood
4ab26766f964a520146b20e3,Starbucks,Coffee Shop
4cbb17d47148f04d803de0ab,Jackson Premium Outlets,Outlet Store
5188db08498e765ce1ba6f66,Norwegian Breakaway,Boat or Ferry
50c66bffe4b0bde4ab4f67ec,St. Francis Social Center,Community Center
4b645129f964a5203caa2ae3,Chestnut Ridge Park,Park
552c503c498ef2e9954fbc0e,Arrojo Bklyn,Salon / Barbershop
4be1fe8b660ec9282567c83b,Sojourn,Tapas Restaurant
4bfb09e8d2b720a1ce7e326a,Speedway,Gas Station
4d4de33cd6f3224bca73a1a6,"New Rochelle, NY",City
4b89a404f964a520724832e3,Lanzi's On The Lake,Seafood Restaurant
4a3c2594f964a5202ba11fe3,The Office Beer Bar & Grill,Bar
4c472ee531e41b8d0ef84b35,IHOP,Breakfast Spot
4c48f13920ab1b8db06e1816,Chase Bank,Bank
3fd66200f964a5205ae91ee3,Cafeteria,New American Restaurant
