lat,lon,county
40.72424,-73.99778,New York County
40.054188,-74.161896,Ocean County
40.877853,-74.118126,Bergen County
40.6362,-75.43044,Lehigh County
40.736126,-74.03008,Hudson County
40.720955,-74.04472,Hudson County
40.722546,-73.98614,New York County
40.721073,-74.268364,Essex County
40.75966,-73.966095,New York County
40.734333,-74.164215,Essex County
40.914196,-74.05797,Bergen County
40.70257,-73.9008,Queens County
40.78264,-73.95099,New York County
40.754936,-73.92364,Queens County
40.715366,-74.19471,Essex County
40.764153,-73.97345,New York County
40.702435,-73.987076,Kings County
40.802654,-73.96424,New York County
40.765686,-73.9874,New York County
40.72197,-74.00171,New York County
40.676098,-73.984314,Kings County
40.760643,-73.98606,New York County
40.744026,-73.98178,New York County
40.748287,-73.98557,New York County
40.720707,-73.99659,New York County
40.726105,-73.98921,New York County
40.762505,-73.984726,New York County
40.92801,-73.85404,Westchester County
40.679367,-73.88041,Kings County
40.66158,-73.96217,Kings County
40.760017,-73.98402,New York County
40.73485,-73.99109,New York County
40.79379,-73.84562,Queens County
40.776077,-73.958496,New York County
40.25823,-75.2654,Montgomery County
40.77037,-73.83362,Queens County
40.66301,-73.71744,Nassau County
40.76021,-73.97598,New York County
40.74262,-73.98436,New York County
40.74184,-73.99932,New York County
40.769226,-73.98205,New York County
40.757687,-73.989494,New York County
40.729324,-74.01201,New York County
40.734383,-74.170654,Essex County
40.740788,-74.00071,New York County
40.773766,-74.02086,Hudson County
40.77347,-73.98301,New York County
40.741684,-74.00463,New York County
40.7141,-74.0398,Hudson County
40.773838,-73.87122,Queens County
40.740974,-74.00539,New York County
40.764957,-73.91713,Queens County
40.72434,-73.95116,Kings County
40.721283,-74.00516,New York County
40.734737,-74.171,Essex County
40.763626,-73.997574,New York County
40.73837,-73.99679,New York County
40.836117,-74.1509,Passaic County
40.738655,-73.993904,New York County
40.77026,-74.05811,Hudson County
40.821426,-73.930534,Bronx County
40.784668,-73.97721,New York County
40.763912,-73.98045,New York County
40.68992,-73.97829,Kings County
40.898342,-74.028625,Bergen County
40.74997,-73.9902,New York County
40.751415,-73.98382,New York County
40.77267,-73.95259,New York County
40.828587,-74.14027,Passaic County
40.756107,-73.924095,Queens County
40.771664,-73.977646,New York County
40.759514,-73.98305,New York County
40.902325,-74.0718,Bergen County
40.761757,-73.8286,Queens County
40.82704,-74.13994,Passaic County
40.85,-73.97045,Bergen County
40.742462,-73.984955,New York County
40.813885,-73.66331,Nassau County
40.751663,-73.99021,New York County
40.730385,-74.06449,Hudson County
40.701458,-74.013214,New York County
40.71751,-73.94925,Kings County
39.800827,-74.91503,Camden County
40.612583,-74.12987,Richmond County
40.758213,-73.986824,New York County
40.716885,-73.99767,New York County
40.675648,-73.97468,Kings County
40.72932,-73.989334,New York County
40.749832,-74.00336,New York County
40.75696,-73.989075,New York County
40.736095,-73.90915,Queens County
40.77954,-73.95525,New York County
40.89915,-73.97457,Bergen County
40.751476,-73.98755,New York County
40.75298,-73.969666,New York County
40.86072,-74.10871,Passaic County
40.75253,-73.97774,New York County
40.736523,-73.99086,New York County
40.7493,-73.998856,New York County
40.748314,-73.98822,New York County
40.728497,-74.00471,New York County
40.640533,-73.97713,Kings County
40.751556,-73.98738,New York County
40.80747,-74.16978,Essex County
40.927,-74.06871,Bergen County
40.724636,-73.998405,New York County
40.71924,-73.98486,New York County
40.96397,-73.8563,Westchester County
40.713444,-73.951584,Kings County
40.779842,-73.98056,New York County
40.728725,-74.00092,New York County
40.763912,-73.99834,New York County
40.882027,-73.90209,Bronx County
40.775375,-73.90945,Queens County
40.74266,-73.82502,Queens County
40.73544,-74.00322,New York County
40.73435,-73.869026,Queens County
40.806404,-73.95402,New York County
40.760998,-73.9829,New York County
40.715816,-74.01188,New York County
40.76429,-73.98832,New York County
40.756718,-73.98859,New York County
40.83452,-73.85035,Bronx County
40.81254,-74.12045,Bergen County
40.82511,-73.95151,New York County
40.748978,-73.995186,New York County
40.73126,-74.00309,New York County
40.73943,-74.0028,New York County
40.850582,-73.833466,Bronx County
40.772064,-73.981544,New York County
40.75595,-73.97243,New York County
40.730385,-73.986465,New York County
40.73203,-73.9855,New York County
40.71573,-73.94045,Kings County
40.66804,-74.10416,Hudson County
40.878914,-73.90474,Bronx County
40.73154,-74.16235,Essex County
40.68012,-73.97713,Kings County
40.909363,-74.558205,Morris County
40.77251,-73.95557,New York County
40.737785,-74.03307,Hudson County
40.718307,-73.957535,Kings County
40.753387,-73.98862,New York County
40.73052,-74.0002,New York County
40.748573,-73.99248,New York County
40.670856,-73.96335,Kings County
40.72954,-73.998856,New York County
40.75128,-73.99125,New York County
40.74555,-73.94747,Queens County
40.73351,-73.95834,Kings County
40.841537,-73.93958,New York County
40.71404,-73.95049,Kings County
40.657425,-73.963936,Kings County
40.761242,-73.923996,Queens County
40.751488,-73.98273,New York County
40.750328,-74.00283,New York County
40.89599,-73.9785,Bergen County
40.753696,-73.98694,New York County
40.740784,-74.00184,New York County
40.782974,-73.98048,New York County
40.633682,-73.88926,Kings County
40.854088,-74.138336,Passaic County
40.768986,-73.868454,Queens County
40.614265,-73.92696,Kings County
40.7534,-73.99247,New York County
40.746037,-73.984634,New York County
40.80054,-73.96568,New York County
40.81399,-73.95998,New York County
40.736526,-73.99056,New York County
40.756615,-73.98469,New York County
40.749825,-73.98796,New York County
40.82632,-74.05636,Bergen County
40.88489,-73.826546,Bronx County
40.73757,-74.0017,New York County
40.75983,-73.99167,New York County
40.872883,-74.082886,Bergen County
40.74182,-74.007,New York County
40.733192,-73.989975,New York County
40.75222,-73.99378,New York County
40.739033,-74.00799,New York County
40.733177,-73.99116,New York County
40.750004,-73.984634,New York County
40.723087,-73.98901,New York County
40.75732,-73.98557,New York County
40.829765,-73.89216,Bronx County
40.70237,-73.98751,New York County
40.77402,-74.01794,Hudson County
40.737804,-74.174164,Essex County
40.75074,-73.99121,New York County
40.741882,-73.987854,New York County
40.614098,-74.013374,Kings County
40.745213,-73.978325,New York County
41.659634,-73.93191,Dutchess County
40.717373,-74.1518,Essex County
40.693333,-73.9667,Kings County
40.749676,-73.97769,New York County
40.758755,-73.9189,Queens County
40.762405,-74.01,New York County
40.86303,-73.93284,New York County
40.88653,-73.90719,Bronx County
40.729847,-73.98872,New York County
40.877346,-74.11593,Bergen County
40.792324,-74.19869,Essex County
40.714474,-73.9579,Kings County
40.74051,-73.92325,Queens County
40.730164,-73.98369,New York County
40.764156,-73.9869,New York County
40.751713,-73.984566,New York County
40.765007,-73.98313,New York County
40.741566,-73.88216,Queens County
40.762146,-73.96846,New York County
40.712784,-73.9475,Kings County
40.71501,-73.95146,Kings County
40.758156,-73.98151,New York County
40.69038,-73.99484,Kings County
40.75294,-74.02513,Hudson County
40.644405,-74.07296,Richmond County
40.71267,-73.876335,Queens County
40.77277,-73.95578,New York County
40.71792,-73.990326,New York County
40.708588,-73.991035,New York County
40.738373,-73.88687,Queens County
40.714283,-73.961395,Kings County
40.91123,-73.780495,Westchester County
40.71787,-73.96159,Kings County
40.73949,-74.002075,New York County
42.77109,-78.811295,Erie County
40.76627,-73.98692,New York County
40.756798,-73.98875,New York County
40.8873,-73.906586,Bronx County
40.734985,-73.99324,New York County
40.784206,-74.02269,Hudson County
40.876747,-74.08533,Bergen County
40.77961,-73.949875,New York County
40.712852,-73.957596,Kings County
40.685844,-74.03618,Hudson County
40.71093,-73.79173,Queens County
41.0295,-74.716835,Sussex County
40.745968,-74.00174,New York County
40.74829,-73.94776,Queens County
40.915173,-73.89483,Westchester County
40.836735,-74.152435,Passaic County
40.783634,-73.97446,New York County
40.560158,-74.16355,Richmond County
40.73685,-73.99571,New York County
40.601147,-73.50321,Nassau County
40.68949,-73.96951,Kings County
40.67164,-73.96381,Kings County
40.620358,-74.12379,Richmond County
40.73998,-73.993324,New York County
40.70831,-74.006584,New York County
40.745274,-73.99255,New York County
40.76279,-73.97332,New York County
40.633625,-74.00496,Kings County
40.71643,-73.9615,Kings County
40.67578,-73.8902,Kings County
40.719967,-73.845116,Queens County
40.873234,-73.90873,Bronx County
40.749767,-73.98544,New York County
40.75103,-73.87265,Queens County
40.764595,-73.96998,New York County
40.76257,-73.99685,New York County
40.636703,-74.01462,Kings County
40.839756,-74.156296,Passaic County
40.73091,-73.98961,New York County
40.964474,-74.244545,Passaic County
40.750793,-73.993576,New York County
40.168205,-74.87669,Bucks County
40.729755,-73.980835,New York County
43.979607,-75.95192,Jefferson County
40.686886,-73.98442,Kings County
40.856712,-73.86046,Bronx County
40.8475,-73.970535,Bergen County
40.779778,-73.95042,New York County
40.755245,-73.986664,New York County
40.679733,-73.96502,Kings County
40.733135,-73.99001,New York County
40.707397,-73.67748,Nassau County
40.774563,-73.972664,New York County
40.726875,-73.983536,New York County
40.88985,-74.25956,Passaic County
40.77352,-73.95679,New York County
40.708736,-73.95775,Kings County
40.86687,-73.825455,Bronx County
40.7807,-73.98002,New York County
40.71841,-73.98989,New York County
40.69693,-73.935425,Kings County
40.721535,-73.944214,Kings County
40.74224,-74.00617,New York County
40.763157,-73.99294,New York County
40.707306,-74.07783,Hudson County
40.719376,-73.84233,Queens County
40.772434,-73.970184,New York County
40.771137,-73.9673,New York County
40.741234,-73.99299,New York County
40.753895,-73.987335,New York County
40.957943,-73.843285,Westchester County
40.59577,-73.75591,Queens County
40.721485,-73.84439,Queens County
40.696827,-74.1784,Essex County
40.760235,-73.99122,New York County
40.721096,-73.98566,New York County
40.70973,-74.01093,New York County
40.89109,-74.145325,Passaic County
40.812634,-74.21576,Essex County
40.726433,-73.986176,New York County
40.74359,-74.00335,New York County
40.689686,-74.17939,Essex County
40.726353,-74.00208,New York County
40.825638,-74.137596,Passaic County
40.772076,-73.95599,New York County
40.731018,-73.98625,New York County
40.78662,-73.95049,New York County
40.87478,-73.90992,New York County
40.87118,-73.88685,Bronx County
40.738754,-74.00009,New York County
40.77924,-73.955086,New York County
40.728603,-73.98996,New York County
40.8684,-73.90133,Bronx County
40.756798,-73.9879,New York County
40.75916,-73.9957,New York County
40.686413,-73.97493,Kings County
40.765385,-73.91818,Queens County
40.771008,-73.835945,Queens County
40.606365,-74.27413,Union County
40.80452,-73.96629,New York County
40.77059,-73.91834,Queens County
40.74837,-73.98806,New York County
40.72197,-73.957565,Kings County
40.71548,-74.00449,New York County
40.76132,-73.967575,New York County
40.83779,-73.83439,Bronx County
40.73013,-73.99772,New York County
40.743015,-74.000244,New York County
40.638706,-75.434105,Lehigh County
40.76798,-73.98201,New York County
40.758488,-73.9867,New York County
40.91608,-74.07329,Bergen County
40.710655,-73.958916,Kings County
40.74762,-73.98646,New York County
40.731327,-73.98875,New York County
40.263668,-74.48187,Middlesex County
40.742523,-73.98035,New York County
40.76257,-73.967964,New York County
40.76099,-73.962944,New York County
39.87278,-75.27723,Delaware County
40.614162,-74.00063,Kings County
40.96463,-74.07844,Bergen County
40.903835,-74.03174,Bergen County
40.730213,-74.00684,New York County
40.715717,-73.99332,New York County
40.759438,-73.98302,New York County
40.745792,-73.90297,Queens County
40.751938,-73.97914,New York County
42.954254,-78.69421,Erie County
40.765102,-73.99996,New York County
40.75227,-73.98731,New York County
40.67465,-73.96341,Kings County
40.83609,-74.15063,Passaic County
40.863483,-73.83414,Bronx County
40.75498,-73.99526,New York County
40.72234,-73.98783,New York County
40.748093,-73.98507,New York County
40.72197,-74.00423,New York County
40.738567,-73.99005,New York County
40.70888,-73.81835,Queens County
40.78974,-73.814255,Queens County
40.774834,-73.98164,New York County
40.757362,-73.984276,New York County
40.72746,-74.005066,New York County
40.695606,-73.836365,Queens County
40.762707,-73.98952,New York County
40.682636,-73.993256,Kings County
40.758194,-73.9627,New York County
40.710537,-73.958145,Kings County
40.79289,-74.25593,Essex County
40.7608,-73.92291,Queens County
40.7412,-74.00542,New York County
40.74992,-73.98361,New York County
40.764202,-73.77146,Queens County
40.720066,-73.98831,New York County
40.716534,-73.96145,Kings County
40.809685,-73.95018,New York County
40.723507,-73.95071,Kings County
40.726116,-73.991615,New York County
40.749996,-73.97225,New York County
40.85535,-73.9333,New York County
40.76422,-73.97864,New York County
40.897232,-74.22067,Passaic County
40.738064,-74.00095,New York County
40.715477,-73.944626,Kings County
40.73934,-73.99544,New York County
40.662663,-73.72021,Nassau County
40.7558,-73.98219,New York County
40.812157,-74.12222,Bergen County
40.813484,-74.07433,Bergen County
40.752407,-73.98997,New York County
40.72073,-73.995094,New York County
40.74454,-73.99072,New York County
40.733505,-73.99106,New York County
40.726948,-73.991486,New York County
40.759674,-73.98455,New York County
40.75091,-73.98206,New York County
40.72329,-73.98997,New York County
40.736828,-73.99065,New York County
40.68874,-73.9833,Kings County
40.71106,-73.95063,Kings County
40.752975,-74.02614,Hudson County
43.01444,-78.84776,Erie County
40.755695,-73.990974,New York County
40.745087,-73.98854,New York County
40.881428,-74.22877,Passaic County
40.749973,-73.99169,New York County
40.761723,-73.994156,New York County
40.850235,-73.933235,New York County
40.724506,-73.99806,New York County
40.977306,-73.78568,Westchester County
40.75124,-73.991615,New York County
40.755386,-73.88606,Queens County
40.828293,-74.10081,Bergen County
40.76195,-73.918465,Queens County
40.734966,-73.97966,New York County
40.75793,-73.98702,New York County
40.73167,-74.00161,New York County
43.21414,-77.44759,Monroe County
40.76492,-73.987785,New York County
40.767265,-73.95962,New York County
40.750557,-73.98801,New York County
40.722332,-73.98335,New York County
40.72199,-73.99356,New York County
40.721176,-73.989426,New York County
40.749447,-74.027176,Hudson County
40.75876,-73.987305,New York County
40.800198,-73.95489,New York County
40.893074,-73.97344,Bergen County
40.857033,-73.9087,Bronx County
