venue_id,venue_name,veunue_category
4af3a44af964a52006ef21e3,Hilton Newark Airport,Hotel
4c121f68b2510f476701c498,Dunkin Donuts,Donut Shop
410c3280f964a520b20b1fe3,B.B. King Blues Club & Grill,Jazz Club
4c79c61e566db60c5748460e,Dunkin' Donuts,Donut Shop
5353fbc6498e9d1f4f4de04e,Under Armour,Clothing Store
4df22f7c52b100c2d7f5549c,Wawa,Gas Station
49f5135cf964a5208e6b1fe3,"Intrepid Sea, Air & Space Museum",History Museum
4f32731219836c91c7d8f039,Mac Inez Caribbean Cuisine,Caribbean Restaurant
4f30478ee4b010c5f8bfd59c,Gilbert Motor Works Inc.,Automotive Shop
4b7ecbf0f964a5202f0030e3,Chuck E. Cheese's,Pizza Place
50ba9119e4b071a4bae6dc10,Nish Nūsh,Falafel Restaurant
4c46e233417b20a158c1dba9,Jeff-Lewis BOCES,Trade School
4eaaa0f8722efacf2767a9f7,Hackensack River Drawbridge,Bridge
5314ad68e4b0d805d3720584,West Bronx,Neighborhood
4abbcb14f964a520f58420e3,Ontario,Dive Bar
4dfc27a2fa76c83b6e7bf5cb,Alphabet City,Neighborhood
540a7a71498e53b9b7fa3b8e,Church Street Tavern,Bar
43a48f1bf964a520502c1fe3,Top of The Rock Observation Deck,Scenic Lookout
4ba939fcf964a52026163ae3,Tigerspike,Office
4bd8aab3f645c9b6b9aea8e0,Dunkin' Donuts,Donut Shop
4c150e1aa9c220a12374589d,The Soda Fountain,Burger Joint
40f1d480f964a5206a0a1fe3,High Line,Park
4a4a2243f964a5208cab1fe3,RRE Ventures,Office
51940c20498eeaa617325bdb,Bar Chord,Bar
42829c80f964a5205f221fe3,American Express Tower,Office
4d3ef93dfb4c5481fecaea14,Datadog HQ,Tech Startup
4c6ad9026d390f47de61099a,Clifton Public School #1,School
4e341c10a809117a22918b84,PNA,Building
4e1876afe4cd49a7e3e98173,Running Along The Water,Athletics & Sports
4c01444b9a950f47abd308c6,BJ's Wholesale Club,Warehouse Store
4e969ce893ad7ae7cd1a8309,Mt. Sinai Emergency Room,Emergency Room
3fd66200f964a5201de61ee3,The Red Lion,Rock Club
4c5ef77bfff99c74eda954d3,Eataly NYC,Gourmet Shop
4b461a2cf964a520741626e3,Publicis Worldwide North America,Advertising Agency
4db75d430437af5fb4cb601b,Peck Peck Chicken,Korean Restaurant
4ed6adfce5fabbd89f617d4f,West Side Highway Running Path,Track
49d60947f964a520a85c1fe3,Citi Field,Baseball Stadium
4bae4a2cf964a5200e9e3be3,Winslow Family Diner,Diner
452d6886f964a5204a3b1fe3,New York Public Library,Library
4b1aa7c9f964a52081ee23e3,Zara,Clothing Store
4cbe5493611abfb717f5a405,Blink Fitness Noho,Gym
51bbb250498e408f1ab85f44,Williamsburger,Burger Joint
4a9037aaf964a520991620e3,Chili's Grill & Bar,Tex-Mex Restaurant
542036b0498e7ff705740960,Salmon River Central School Bus Garage,Other Repair Shop
4a8efd30f964a5207b1320e3,Chipotle Mexican Grill,Mexican Restaurant
4bc605766c26b713c128ecf3,Palermo Pizza & Italian Restaurant,Pizza Place
5081f40de4b03db175d5b471,Hallmark Luxury Apartments,Residential Building (Apartment / Condo)
52327c2c11d20f782080c35f,Three Diamond Door,Bar
4c5c3f607f661b8dedfa471c,Rebekah Rehab & Extended Care Center,Building
4a675deef964a52045c91fe3,Charging Bull by Arturo Di Modica,Outdoor Sculpture
4c37b0350a71c9b6f8573fc9,"Yonkers, NY",City
4dc035860f2cf6d708d8b011,Carnegie Park,Residential Building (Apartment / Condo)
49ccd9bef964a52095591fe3,Sony,Office
4f91813ae4b079cca43ae330,Hazlitt,Winery
4b58b0a5f964a520d66528e3,Distrikt Hotel,Hotel
4f15971ae4b0865b0bb3f584,teaneck animal clinic and spa,Veterinarian
4af2b0def964a5203fe821e3,Mount Sinai St. Luke's,Hospital
4d5348e008a7b1f76b0a3192,"West Brighton, Staten Island",Neighborhood
4fb0f7fae4b01cbf31080843,Fairway Wines & Spirits,Wine Shop
4ad63415f964a520b80521e3,CBS Corporation,Office
4bc8f4abfb84c9b664281a3e,jamestown War Vets,Other Nightlife
51278417e4b04f58d215dec7,Clear Path for Veterans,Non-Profit
4d54523758856dcb10023c6d,MTA New York City Transit Corona Maintenance Facility & Casey Stengel Bus Depot,Train Station
5233a20a11d268060fec7882,The Sweet Shop NYC,Dessert Shop
500eeb096de406feaec6a2cf,7-Eleven,Convenience Store
4e0d159414956c6284ed6b6a,Rt. 322,General Travel
4b902593f964a5207c7833e3,Farragut Houses - NYCHA,Housing Development
4bcb522acc8cd13a8021bfcf,Town of Grand Island,Town
4e0df2eb8877936cb400531c,Haven Plaza,Plaza
4f184a5fe4b038fa35c411a7,Nia Sofia Salon,NA
4a8ecbdcf964a520ac1220e3,CBS Broadcast Center,TV Station
5261525c11d2bf8a5e104a61,Baby's All Right,Music Venue
4b6229d7f964a52078392ae3,Abilene Bar & Lounge,Bar
49b79f54f964a5202c531fe3,Rockefeller Center,Plaza
4cb492fd75ebb60caa97e3ad,NYC Fine Cigars,Smoke Shop
4bf71d245ec320a19d7186d3,Hoboken Grace Community Church,Church
4bf04208d4e4d13a3d1316a7,Knights of Columbus,Event Space
4e4e99ca628441666982068c,White Dotte Dairy Bar & Grill,Ice Cream Shop
4e471e34887781a619b51264,Garden State Plaza Parking Deck,Parking
4bdeb11b6198c9b6aa7f14ff,Queens-Midtown Tunnel,Tunnel
4a9c58faf964a520e13620e3,NBCUniversal,Office
4d1aa52f31af236a6bd70b17,Bryn Mawr Ridge,Residential Building (Apartment / Condo)
4ba3af25f964a520155438e3,Starbucks,Coffee Shop
4b6df83bf964a520e69f2ce3,Boston Market,Fast Food Restaurant
4d03882de350b60cad977d42,Mobil,Gas Station
4ea9a281b6347a5969b70587,RetroCraze Salon & Spa,Salon / Barbershop
4dcd2694d22deadedd3116fe,"Briarwood, NY",Neighborhood
536fff96498e00e8803b8e8d,Wok to Walk,Noodle House
4dc609bed22dafda2fb54f19,"Montville, NJ",City
4ef3375a93adff223f52c4ba,New Dorp,Neighborhood
4d5afe3b7c3b224b7b0923af,Mengo's Pizza,Pizza Place
4c787e69794e224b3e976228,Gentleman Farmer,French Restaurant
4b4b77b7f964a520e99c26e3,University at Albany,University
4b9ecda8f964a5201a0337e3,Corrigan Hall,College Academic Building
4b4bc134f964a52093a626e3,Starbucks,Coffee Shop
4bd742cbe914a593bdda50fa,"Orrick, Herrington & Sutcliffe LLP",Office
56f2161b498e5a6aa3f3e063,Mi Casita Lounge,Lounge
43519800f964a520b8281fe3,Brooklyn Bagel & Coffee Co.,Bagel Shop
4fecf32ee4b0c3c46ce2ad1e,The Coal House,Pizza Place
4bb00987f964a52035333ce3,Panera Bread,Sandwich Place
4bd46a604e32d13a6106bf80,Woodlake Country Club,Golf Course
4c2d2315e116e21e1b1a8e60,Hide-Chan Ramen,Ramen Restaurant
4bae2efdf964a520ff8e3be3,Frank S. Farley Service Plaza,Rest Area
43fe1ba4f964a520f82f1fe3,Barnes & Noble,Bookstore
4b93e133f964a5200b5734e3,Stop & Shop,Supermarket
4d7b4c2c9b1f1456b4e51b7f,Riverdale,Neighborhood
5061a3f4e4b00bc612d42ae3,Avalon Hotel,Hotel
4c655fef3f69c9b6de018bd9,PVH Corp,Office
4e07a418fa767637fd2c68b7,"Carlstadt, NJ",City
4df8aea418385456c7f572cd,Ginsbergs Foods,Food
40b68100f964a5207d001fe3,Madison Square Park,Park
4bd0406a046076b09f916f71,Burnet Middle School,Middle School
4edf66aee5faee999249204f,Leake and Watts Inc.,School
4c630dcc58810f47febe081e,Port Morris Rail Yard,General Travel
4cd3f20d9828b60cc31ad884,"The Bronx, NY",County
4c3e42908d99b713d6cb1a06,Essence Bar & Restaurant,Southern / Soul Food Restaurant
4baeb44cf964a5208bd03be3,AMC Loews Bay Terrace 6,Movie Theater
51f69f9950192a595c5ba99a,The Park 112,Cocktail Bar
4bf1f24899d02d7f8ac6c948,Congee Bowery 粥之家,Chinese Restaurant
4b4cf52ff964a52081c526e3,Hilton Meadowlands,Hotel
4b633df2f964a520fd6c2ae3,Patzeria Perfect Pizza,Pizza Place
4e1080ce8877ac23b6585efa,"Montgomery, NY",City
4beefc72d1b7d13a4925cdec,Elegant Builders Raceway Park,Racetrack
4b559e37f964a52048e927e3,Eastside YMCA,Gym
4ebedd607beb5340001f897f,Beer Street,Food & Drink Shop
4f22af30e4b0fd1835f42b98,Third Street,Scenic Lookout
4c326b9fa0ced13ac126156e,Ichi sushi 2,Japanese Restaurant
4b696ecdf964a5201fa22be3,Flywheel Sports,Cycle Studio
4e628332d22d509a39a9a788,"Newark, NJ",City
4c50c61ad2a7c9b620d61510,Miss America Diner,Diner
4a3d99e6f964a52084a21fe3,Cacio e Vino,Italian Restaurant
4c6afd6a23971b8d7b58998a,"Roselle, NJ",City
4b562647f964a520a40228e3,Target,Big Box Store
51ead3db454aa31cb0da07e3,Flat Top,New American Restaurant
3fd66200f964a52073e81ee3,Mad River Bar & Grille,Pub
4bd79154f645c9b6b756a6e0,All Souls Unitarian Church,Church
4ecbe4be6c2502f6a6b22cbf,US Post Office,Post Office
48de03bcf964a5200d521fe3,Pearl River Mart,Miscellaneous Shop
4c7e940ed51ea1435914589f,NoHo,Neighborhood
4d15545cbb488cfaf6c29ed4,"Hackensack, NJ",City
4d214ab3d7b0b1f78f171c9f,Fig. 19,Speakeasy
50ba7adbe4b036209ec2a3bd,Big Gay Ice Cream Shop,Ice Cream Shop
4593ed04f964a52050401fe3,The Kati Roll Company,Indian Restaurant
4c1e2e1c63750f476d4ab967,Waterloo Premium Outlets,Outlet Store
4b918503f964a52086c233e3,Victory Internal Medicine,Doctor's Office
4f63142ae4b06561236fb2ee,Lourdes Medical Center Emergency Room,Emergency Room
50b39fe8498ef078fa9c5d01,I Love Kickboxing - Midtown East 43rd,Martial Arts Dojo
500d9460c84c53f005e19eb8,Murray's Cheese Bar,Cheese Shop
4c2f6f3866e40f47dddec18b,Brushwood Folklore Center,Campground
50ba99c572daa1ccd1e2962f,"Breezy Point, NY",Neighborhood
