lat,lon
40.85217,-74.229256
40.721367,-74.00494
40.80577,-73.9387
40.762577,-73.98791
40.25412,-74.30006
40.783913,-73.973915
40.679188,-74.10518
41.78039,-73.74617
40.752533,-73.97945
40.699474,-73.80925
40.726215,-73.95361
40.70724,-74.00311
40.774784,-73.90865
40.78116,-73.956696
40.551243,-74.15004
40.680798,-73.95409
40.73106,-73.99366
40.688328,-73.99326
40.76164,-73.986084
40.49084,-75.069336
40.756573,-73.98685
40.7267,-74.003296
40.749516,-73.9891
40.713966,-73.9341
40.74098,-74.17224
40.7475,-73.89158
40.751488,-73.88193
41.970345,-73.82115
40.43457,-74.33939
40.68445,-73.97755
40.746265,-74.00709
42.626633,-74.94518
40.866848,-73.82622
39.76532,-74.09686
40.71119,-73.949234
40.75173,-73.67412
40.73113,-73.968636
43.16287,-77.472496
42.207146,-73.87234
40.70684,-74.013
40.75814,-73.98763
40.689156,-73.98098
40.721138,-73.98941
43.076473,-78.85939
40.713665,-74.014336
40.631668,-73.94803
40.673428,-73.95696
44.328014,-76.03984
40.753887,-73.99335
40.76141,-73.89315
40.642002,-73.96597
40.682087,-73.98413
39.895744,-74.91628
40.728863,-73.98077
40.827137,-73.950325
40.855797,-73.92909
40.68453,-73.84793
40.71014,-74.007935
42.131905,-73.95361
40.688316,-73.83151
40.72424,-73.99766
42.491898,-79.302895
40.75469,-73.99168
41.69756,-74.880905
40.77753,-74.19527
40.736786,-73.99305
40.800186,-74.021866
40.786037,-73.85327
43.019283,-77.43811
40.700695,-75.15626
40.723377,-73.959755
40.64469,-74.07717
40.774635,-73.953995
40.827164,-74.10354
40.769314,-73.949615
40.76128,-73.764
40.588757,-73.66074
40.835354,-74.22586
43.04073,-75.91365
40.754692,-73.985504
40.554115,-74.28266
40.775513,-73.91293
40.83275,-73.888954
40.130398,-74.22033
40.702934,-73.9077
40.7634,-73.98667
40.88941,-74.09706
40.735115,-73.998116
40.7309,-74.000786
40.843464,-73.91131
40.705765,-73.93259
40.83945,-73.8718
40.716667,-73.95914
40.58783,-73.96039
40.56272,-74.55288
40.673653,-75.134834
40.66552,-73.9827
40.646687,-73.79045
40.708412,-74.00749
40.731327,-73.98875
40.706,-74.01007
40.768066,-73.984924
40.675426,-73.811325
40.67177,-74.00293
43.09296,-76.07286
40.704494,-73.92912
40.71895,-73.98584
42.798,-74.75845
40.631443,-73.946014
40.888702,-74.25933
40.745502,-73.98951
43.09722,-75.571266
40.754925,-73.985596
40.725407,-73.991646
40.70726,-73.9539
40.77583,-73.824135
40.65238,-73.76743
43.166744,-75.291595
40.71905,-73.98782
42.089817,-75.9693
40.730865,-73.86204
40.59926,-73.95913
40.784046,-73.94814
40.75268,-73.98471
40.75816,-73.98769
43.007526,-76.196915
40.715744,-73.93777
40.79699,-73.937904
40.877094,-74.537865
40.78404,-74.233765
39.89595,-74.3197
40.812763,-74.21606
40.911392,-73.847435
40.792915,-73.97857
40.761627,-73.97236
40.793793,-73.97182
40.70628,-73.83174
40.74979,-73.97493
40.6403,-74.00457
40.734203,-73.98917
40.78243,-73.9535
40.741238,-73.89885
43.02452,-77.44226
40.802837,-73.94296
40.65697,-73.959915
40.711143,-74.0048
40.597958,-73.98312
40.702637,-74.05094
42.56446,-79.13817
40.720592,-74.039635
39.161877,-74.75127
44.371037,-73.39719
40.718925,-73.94629
40.87442,-74.10422
40.742226,-73.99864
40.618282,-74.16355
39.4518,-74.63377
40.71179,-73.826096
42.726276,-73.791824
40.75449,-73.994736
40.763287,-73.92701
40.758286,-74.15215
43.25158,-77.69849
40.023117,-74.61149
40.751514,-73.974304
42.707214,-73.86057
40.81979,-73.84803
40.717663,-73.99726
40.603718,-74.063576
40.839043,-74.00468
42.29681,-73.996376
40.75878,-74.023125
40.76605,-73.96587
40.674957,-74.01299
40.73006,-74.00304
40.776173,-73.94674
40.7347,-74.002174
40.756138,-73.969315
40.761673,-73.984184
40.78129,-73.976135
40.72532,-74.005516
40.724533,-73.978935
40.740273,-73.99538
40.61881,-73.92947
41.068554,-72.33939
40.75945,-73.92147
42.73208,-78.82415
40.73568,-74.00116
40.75638,-73.987854
40.763733,-73.92169
40.75524,-73.694916
40.74321,-74.05137
40.732185,-73.86598
40.873432,-73.8932
40.579723,-74.737724
40.608204,-74.00227
40.7553,-73.97703
40.747353,-73.9931
40.768238,-73.82504
40.644604,-74.00975
40.7278,-73.98567
40.658936,-73.97863
42.766052,-78.37337
40.852894,-73.94186
40.75101,-73.98762
40.756813,-73.847435
40.646038,-73.77692
40.714108,-73.951
40.612926,-74.07139
40.965546,-74.075714
40.74469,-73.898125
40.821274,-74.207924
40.75151,-73.98608
40.680573,-73.95036
40.761215,-73.97694
40.690193,-74.04462
40.784683,-73.98161
40.75684,-73.98502
40.722473,-73.98385
40.81057,-73.95287
42.1637,-74.64885
41.012764,-73.92313
40.69325,-73.98876
40.755108,-73.9949
40.6872,-73.95491
40.746475,-74.031715
40.863422,-73.807846
40.733498,-74.17071
40.7304,-73.99273
40.274208,-75.25862
43.10385,-77.54095
40.96259,-74.24264
40.798607,-73.952255
40.774612,-73.95818
40.742107,-73.917915
40.854206,-73.88573
40.739513,-74.00169
40.71431,-73.996254
40.756523,-73.75848
40.63255,-74.18602
40.727642,-74.00345
40.728046,-73.83918
40.589584,-74.24928
40.743904,-73.99195
40.736523,-73.99102
40.755856,-73.98046
40.800762,-73.9616
43.217323,-77.46929
40.721455,-74.00137
40.878235,-73.88316
40.72992,-74.000595
40.741287,-74.02971
40.75014,-73.880295
40.750248,-73.97166
40.621166,-74.02605
40.725414,-74.00082
36.596695,-82.20902
40.781193,-73.986496
40.780846,-73.973595
40.78017,-73.947105
41.18902,-74.508606
42.785667,-78.81051
42.955887,-76.92142
40.90696,-74.10107
40.809685,-73.95018
40.752144,-73.97346
40.71672,-74.00571
42.131313,-78.50431
40.68103,-73.83913
40.074074,-74.12325
40.757267,-73.98576
40.81871,-73.8173
40.0272,-74.81896
44.203316,-76.07551
40.140347,-74.66465
40.892994,-73.857666
40.757275,-73.97198
40.913837,-73.77785
40.64682,-74.020706
40.8861,-74.27994
43.148136,-77.607895
40.772373,-73.969894
40.76796,-73.95897
40.8398,-73.878075
40.75681,-73.98086
40.728527,-74.00271
40.65903,-75.07252
40.726658,-74.00802
40.7481,-73.9849
40.760693,-73.98343
40.59513,-73.50823
40.86911,-74.11188
40.7409,-73.99177
40.769833,-73.9862
40.63662,-73.91167
41.033134,-71.946236
40.68121,-73.84137
41.0208,-72.13663
40.799126,-73.94301
40.924862,-74.086105
40.750557,-73.98801
40.79866,-73.952034
40.807793,-73.92929
40.730785,-74.04779
42.950912,-77.6884
40.722443,-74.05137
40.71425,-73.98103
40.664707,-73.92305
40.19615,-74.63807
40.754955,-73.99302
40.731327,-73.98836
40.436584,-74.5422
40.75873,-73.988594
