venue_id,venue_name,veunue_category
4bf033acf831c92896b701f2,East Hampton Indoor Tennis,Gym / Fitness Center
4bc0ab97f8219c746decb110,Little Ferry Public Library,Library
4d7d43ec8f89224b5291b326,Laundry Palace,Laundry Service
4b168664f964a520fcb923e3,Starbucks,Coffee Shop
4be0457afa629c745e9a25bc,Big Lots,Discount Store
412d2800f964a520df0c1fe3,Central Park,Park
45a51c02f964a520fa401fe3,Tarallucci e Vino Restaurant,Italian Restaurant
4d8378ce81fdb1f7727de7bf,Hawa Smoothies,Juice Bar
522b5da811d2094ebf69e436,Friedman's,American Restaurant
534e9a2211d247e3854371f2,Peloton,Cycle Studio
4b573c3bf964a520772c28e3,Minerals Resort and Spa,Spa
4c3c8bf9933b0f47bc2fe421,Michaels,Arts & Crafts Store
4a229fa8f964a520797d1fe3,Jacqueline Kennedy Onassis Reservoir,Lake
4cdc2a55d5495481971240b2,T.J. Maxx,Department Store
4bb56b6a2ea195219f7faa2f,PJ Brady's,Pub
52fbcb50498e9bfdf1a2c5f9,Chalk Point Kitchen,Turkish Home Cooking Restaurant
4bd196d7a8b3a593f2ee655f,Pistilli Riverview East,Residential Building (Apartment / Condo)
5569e008498e9ace7c8a76ac,Nanoosh,Mediterranean Restaurant
4d4e54988af6721e51790f88,Short Stop Coffee Shop,American Restaurant
4c02fbc8f56c2d7fc04a1c66,Hendrickson Park,Park
4bd44b84a8b3a5937e7f6b5f,MetLife Stadium,Football Stadium
4c1d22b0b4e62d7f523cdc93,CVS/pharmacy,Drugstore / Pharmacy
4c2a81398abca59393c8fe1f,Xi'an Famous Foods,Chinese Restaurant
4df2f04dd4c01ff6b2eaca87,Brownsville,Neighborhood
4cade09ebf70236af26c03f9,Maspeth Family Medicine,Doctor's Office
52c060f0498edd7c40e8795d,Belt Pkwy East,Moving Target
4a6f3c21f964a520b0d51fe3,GameStop,Video Game Store
4576ddcaf964a520ac3e1fe3,Barneys New York,Department Store
4b97f06df964a520db2035e3,GE Power & Water,Office
4a9fc5cdf964a5204a3d20e3,Dyker Beach Golf Course,Golf Course
4459d2f1f964a520d7321fe3,Newark Liberty International Airport (EWR),Airport
4b696ecdf964a5201fa22be3,Flywheel Sports,Cycle Studio
56b225a5498e51046df8b810,"2U, Inc",Office
4c7fc79ed860b60c8ad9619d,"Astoria, NY",Neighborhood
4bb7afde7421a593f1e1c040,Dunkin Donuts,Donut Shop
5389414d498e2d6da8809122,Drunk Shakespeare At Quinn's Bar,General Entertainment
511a5173e4b059becd8d1f34,MTA Bus - Q85 @ Bedell Street and Baisley Blvd,Bus Stop
4ccae3c333d3721e23b82c8b,Beach 133,General Travel
48c3baf3f964a520d8511fe3,East Village Tavern,Bar
4c2fa953452620a183f41d0f,Bound For Glory Tattoo,Tattoo Parlor
4c7ac4da97028cfaeb3edffe,Brooklyn Cupcake,Cupcake Shop
4bacb1eaf964a5208e043be3,"CooperKatz & Co, Inc.",Coworking Space
51549fc0e4b0284e3f835d82,The Greenwich Project,New American Restaurant
4e7647cffa76059701632021,165th Street & Jamaica Avenue,Shopping Mall
53e92c8911d25739fe21baba,Waterford,City
4a60f659f964a52090c11fe3,Wegmans,Grocery Store
4de11f21ae605835c4645ff9,The Phase2 Treehouse,Office
4c1ec4e8b4e62d7f75d1de93,"Harrison, NJ",City
50756b95e4b0e2c61e11d632,Litvinova Medical PC,Doctor's Office
4e272673b0fb1fae1ddaf462,"Garfield, NJ",City
428a8580f964a52083231fe3,Hard Rock Cafe New York,Theme Restaurant
508d48f6e4b019412d1bb343,Cascade Mountain Foot Trail,Trail
4cd3f20d9828b60cc31ad884,"The Bronx, NY",County
4d1e9559e56f6ea84f57661d,7-Eleven,Convenience Store
4b918348f964a5200fc233e3,The Drunken Horse,Wine Bar
4bfd74ce55539c74a1abbcf3,Duane Reade,Drugstore / Pharmacy
457d9859f964a520293f1fe3,Square Diner,Diner
503fed7be4b0dd909ae48bf5,Spice,Thai Restaurant
4a78348ff964a52046e51fe3,Hospital for Special Surgery,Hospital
4c5ce6757f661b8de31e4a1c,North Grand Island Bridge,Bridge
4c0ebe5ed64c0f47f0b0285d,AT&T,Mobile Phone Shop
53dd1f41498efb39049ce081,Chipotle Mexican Grill,Mexican Restaurant
4bd44b84a8b3a5937e7f6b5f,MetLife Stadium,Football Stadium
4b0eec56f964a520d75c23e3,Sybil's Bakery,Bakery
50d616cd8acab504358b6317,Fieldston,Neighborhood
4a732ac9f964a520b9db1fe3,Karaoke Duet 35,Karaoke Bar
4c59fc675c57c9b67b3b1c4a,Broadway Joe's Pizza,Pizza Place
4c63062cedd320a1515eae29,Ocean County Library,Library
4a593f19f964a52018b91fe3,Bay Ridge Alpine Cinema,Movie Theater
4bd9dd362a3a0f479497a8b6,Sunshine Market,Gas Station
4ad9fb95f964a520bb1c21e3,Il Fornetto,Italian Restaurant
4dab7425fa8cc764974da770,Bedford-Stuyvesant,Neighborhood
4b882ae8f964a52082e431e3,City Fresh Market,Grocery Store
4558b83bf964a5204b3d1fe3,New York Health and Racquet Club,Gym
4bc21a60920eb7133ba51b2c,Hudson Park,Park
4af6e73ff964a520030422e3,The Brooklyner Apartments,Building
53de8565498e877575c97595,Family Fruit,Fruit & Vegetable Store
563a75a9cd107a7126e1f740,Mode Public Relations,Building
560eccdc498e9d4377734c41,Microsoft Store,Electronics Store
49fe029cf964a5205d6f1fe3,Inwood Hill Park,Park
4a0c2e7bf964a52014751fe3,New York Hilton Midtown,Hotel
4bef476c2ff520a15c65e8a2,668 The Gig Shack,Restaurant
49e61c9df964a52009641fe3,Kouzan Japanese Restaurant,Sushi Restaurant
4b58a360f964a520f76228e3,Bonchon Chicken,Korean Restaurant
51bb9282498e56a7521f9983,SoulCycle West Village,Cycle Studio
4c26943ba852c9283ef1e66c,Barcelona Restaurant,Mediterranean Restaurant
525eef5d498e4969d867264e,The Soul Food Factory,Southern / Soul Food Restaurant
4e5daf837d8b67dc8fea88ed,Red Mist,Hookah Bar
4a5bece4f964a52000bc1fe3,NewYork-Presbyterian/Weill Cornell Medical Center,Hospital
4f337c01e4b04cda15704186,DSW Designer Shoe Warehouse,Shoe Store
54ee1680498ef860b6ed47fc,WeWork FiDi,Coworking Space
4e2b293ee4cd3bc166926781,Brooklyn Bridge Park - Pier 5,Park
4e0c71ecae60909ff14a650c,South Bronx,Neighborhood
4b57d179f964a5208b4228e3,Super Stop & Shop,Supermarket
4e235ac4c65b2b5e355aa103,Cherry Blossom Center,Park
4f352944e4b01f8cbc9c5c7a,USCG Station Barnegat Light,Military Base
4bc4bbfdabf49521b17bc593,Shaker Ridge Country Club,Golf Course
4bb38d764019a593711938b8,College of Imaging Arts and Sciences,College Arts Building
4e7be3537d8be4806606be9f,NYCT -  E 180th St Maintenance Facility,Coworking Space
4bf0127df831c928348901f2,Notre Dame R.C. Church,Church
500f2d72e4b0c1e6fd42f5dd,Mr. Melon,Convenience Store
4f04b895f9ab88b0c2995117,Red Antler,Advertising Agency
4c3f7469af052d7f185a7a79,Downtown Ellicottville,Neighborhood
4b40cf3df964a5206bbb25e3,Chinatown,Neighborhood
49ef4d51f964a52094681fe3,Hunter College - CUNY,University
554bbf3f498eb997c4c641bc,Rex (Chelsea),Coffee Shop
4b098c87f964a520381923e3,Manhattan College,University
4b8ad075f964a520da8232e3,Bario's,Pizza Place
4dd7d3e845ddced8208ffa61,"Queens, NY",County
46c981bcf964a520224a1fe3,Spitzer's Corner,Bar
4df2f04dd4c01ff6b2eaca87,Brownsville,Neighborhood
54b1b78e498ee334f9b739be,Aux Merveilleux de Fred,Bakery
50f8466ae4b0688fecd706d8,Karied Mexican deli cafe,Mexican Restaurant
53570731498eb8d0e9784b11,Square Vape Lounge,Smoke Shop
50cd061e29a61f268e619aa2,St. George,Neighborhood
4bf3bdf13f86c9b69b68b21c,Oneida Travel Plaza,Rest Area
4b28fd2af964a520039724e3,New York Sports Club,Gym
4c3f076a0e0d0f477b50167f,Brooklyn Bagels,Bagel Shop
52e5a55e498e4eb9c9e805ed,District Tap House,Gastropub
4bd5e59f6f649521b7e86fec,"Woodside, NY",Neighborhood
4b6cb81bf964a520dd4e2ce3,Village Trattoria,Italian Restaurant
4b93edb3f964a520785a34e3,The Brownstone,Event Space
4c97edbdf419a09395806b88,"Brooklyn, NY",County
4b8d6bc0f964a520a6fa32e3,Marshalls,Department Store
4b3e1843f964a520589825e3,East Side Fitness,Gym
4bb140d3f964a5204d873ce3,Church Of Ascension,Church
4c88f664da5da1cd123d38e9,William Levine Hall,College Classroom
4ade0324f964a520586721e3,Calexico Cart,Food Truck
50dca756ebca321cfefb2ea9,Maria Mentiras Bar & Grill,Latin American Restaurant
44826b5af964a5201b341fe3,Night Hotel,Hotel
4bc36cc074a9a593c387d4f6,Joan of Arc Island,Sculpture Garden
4bc21a60920eb7133ba51b2c,Hudson Park,Park
4c202722e923ef3b23e04e54,O'dells Deli,Deli / Bodega
51310088e4b08f94904b8b8b,Jimmy's On The Go,Southern / Soul Food Restaurant
4bb6811b6edc76b0b40f311c,Little Venice,Italian Restaurant
4c6862ee7963be9a4c65cdbc,Huron Street Waterfront,Beach
42f15a80f964a520bc261fe3,Studio 450,Event Space
4bc259d4920eb713a3211c2c,Lower East Side,Neighborhood
4c274e99a852c92834ffe76c,"East Quogue, NY",Town
545c030f498ea078c5e2f6d9,Trillos 15x,American Restaurant
5335ded8498e679b0b3d261a,Pendleton,City
49ede525f964a52000681fe3,Braai,African Restaurant
4ade3e09f964a520397421e3,Gracious Home,Furniture / Home Store
4ac7af8cf964a5201db920e3,New York Public Library - Bloomingdale,Library
4e55a736a809cbf4e4720053,"West Orange, NJ",City
4dea657bfa76cc1b8ae3bb30,Cornerstone Cafe,Café
4cbd9f989552b60c3500ec8b,Dewitt Clinton High School,College Academic Building
4b1ca086f964a520c70824e3,New York Sports Club,Gym
54a1942f498ef4bf4bd6dc1f,5th Ave Hair Studio,Salon / Barbershop
3fd66200f964a520f6ea1ee3,169 Bar,Dive Bar
4f5e0565e4b008b158a75a13,Sunset Park,Neighborhood
49e17f24f964a520d1611fe3,AMC Loews Lincoln Square 13,Multiplex
4b7f4e94f964a520672630e3,Chase Bank,Bank
4c4e1db5d667d13a90f7e29f,Rite Aid,Drugstore / Pharmacy
4e694fa1e4cdd38ef9bb99e7,Somewhere In NJ,Moving Target
49e898b0f964a52058651fe3,Marvel Entertainment,Office
54353d05498e3d695534e8be,Marcy & Myrtle Cafe,Coffee Shop
4a9548e0f964a520da2220e3,Joyce Kilmer Park,Park
4bb1268ff964a520a67e3ce3,Montezuma National Wildlife Refuge,Nature Preserve
4e4d153c52b1075a639297a6,'Essen,Deli / Bodega
4075e780f964a52056f21ee3,Soda Bar,Bar
4e7a39e91f6e07f91810fa35,Sherman Avenue Garden,Garden
4b64783af964a520beb52ae3,DKLB BKLN,Building
49cb0b51f964a520fb581fe3,Chelsea Square Restaurant,Diner
4bd339c89854d13a7d37fd4d,Aree Nails,Spa
50ff131de4b03e812230c6cc,Twp Of Franklin,City
527ae8fb11d2652d0c6959da,King Rice Inc. 蓮旺,Chinese Restaurant
4bc3c7a1dce4eee1cfbf719d,Best Western Riverview Inn & Suites,Hotel
4af720a9f964a520310622e3,Duane Reade,Drugstore / Pharmacy
42377700f964a52024201fe3,Brooklyn Heights Promenade,Park
4c1f552db306c928f03a68b7,Marge's Diner,Diner
4bf42d8d94af2d7f13493a72,Monsignor McClancy Memorial High School,High School
4f4292f6e4b0f4a9fc949666,Alley,Coworking Space
4ba97825f964a5201a293ae3,Shooters Family Billiards,Pool Hall
4c2b56f777cfe21e534bb4f1,B.J.'S Wholesale Club Distribution Center,Factory
5391f6de498e7b5d5b7cfb5b,Miller lite tent,Beer Garden
54f65a58498ea2df4742a66e,B BAR at the Baccarat Hotel,Hotel Bar
49d0b250f964a5202c5b1fe3,Chelsea Park,Park
4bf3463198ac0f47f7c262a8,Colonette,Diner
4b0977d9f964a520bd1723e3,Nutley Diner,Diner
4c7262669e706dcb9c934a62,North Jersey Media Group,Office
4be55f7c477d9c747fa6e62d,Flatbush & Church Ave,Intersection
4ac2427ef964a520739820e3,Cellini,Italian Restaurant
4d9b0b517668f04d0941c893,US Foodservice- Metro New York,Building
4be615882457a593597cac15,TGI Fridays,American Restaurant
4fad8e97e4b0e047b1b5e914,Pain Ink,Tattoo Parlor
4e12bb94ae602afe96c87a6b,YRC 126,Factory
4bd35c99046076b03ae77571,George Wingate Park,Other Great Outdoors
425f0400f964a52011211fe3,Congee Village 粥之家,Chinese Restaurant
515e5688e4b04e50aa73b036,EDP Bar & Lounge,Lounge
4bcdfa4efb84c9b6c4f5223e,Fairways Apartments,Residential Building (Apartment / Condo)
4b8d18c5f964a520b7e732e3,NYU Medical Center Emergency Department,Emergency Room
5476703f498e3bbc45bf984f,Starplex Cinema,Multiplex
4bb7b1353db7b713ee65209a,Staten Island YMCA Broadway Branch,Gym / Fitness Center
4bacb809f964a5208b063be3,Six Flags Wild Safari,Theme Park Ride / Attraction
507ab010e4b0ef94ad155d88,Redeemer Presbyterian Church,Church
4c0d0e58d64c0f476a16265d,US Post Office,Post Office
4ad4d291f964a52008fc20e3,Murray Hill Medical Group,Doctor's Office
4bb8bbcfb35776b01128c901,American Martyrs R.C. Church,Church
4b8a83eff964a520227032e3,Natirar,Park
42829c80f964a5206a221fe3,Grand Central Terminal,Train Station
3fd66200f964a520e9e91ee3,The Place,New American Restaurant
4e2876cbc65ba11f4c5ca814,7-Eleven,Convenience Store
509eab73e4b0bae035b62704,Lunetta Pizza,Pizza Place
4d0a5e664abf721e6277c85e,Patsy's Liquors,Liquor Store
4a0c2e7bf964a52014751fe3,New York Hilton Midtown,Hotel
517021ffe4b0ad9829ae7815,Xi'an Famous Foods,Chinese Restaurant
5273b599498e5cf889855930,'Essen,Cafeteria
4afa22cff964a520fd1622e3,Washington Heights,Neighborhood
49f37b88f964a520a26a1fe3,Empire Coffee & Tea,Coffee Shop
4bc85a426501c9b6bae63f29,Newark Central Business District,Neighborhood
3fd66200f964a5205be81ee3,1020 Bar,Bar
4c41c333e26920a1c0e65ee7,CVS,Drugstore / Pharmacy
4b916eddf964a5201bbc33e3,Golden Eagle Diner,Diner
414e1d80f964a520f11c1fe3,Sushi of Gari,Sushi Restaurant
4ca4e519a6e08cfa884d6c94,Midtown Manhattan,Neighborhood
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
4e5952531495a891127dac10,Tudor Wines & Liquors,NA
4e0c71ecae60909ff14a650c,South Bronx,Neighborhood
51e4f85b8bbd95fb9711bd12,"Fast Towing & Repairs, Inc",Automotive Shop
4bd2212ca8b3a5933736675f,Falletta's Restaurant,Italian Restaurant
4e3c89c8aeb73139a16d84ee,Kung Fu Tea 功夫茶,Bubble Tea Shop
49eb9b35f964a52001671fe3,Beyoglu,Turkish Restaurant
4bca11b5937ca5938707a792,Arby's,Fast Food Restaurant
4a0c2e7bf964a52014751fe3,New York Hilton Midtown,Hotel
4b972c7cf964a52008fb34e3,Il Fornaretto Bakery,Bakery
41390580f964a520dc1a1fe3,Chelsea Market,Market
429cfa80f964a520ad241fe3,Pazza Notte,Italian Restaurant
49e6e227f964a52074641fe3,The Kunjip,Korean Restaurant
56428c1a498ec2321db0f0e1,Lowlife,American Restaurant
4cdc66673f6a8cfa9128f1ea,Bagel Talk,Bagel Shop
554aa1ce498ece868a693a86,Tamashii Ramen,Noodle House
4be4a7aabcef2d7fb5e302e5,ShopRite,Supermarket
558e9564498e4c9557996706,Drybar Bryant Park,Health & Beauty Service
4528a216f964a520173b1fe3,Queens Center Mall,Shopping Mall
427ff980f964a520b7211fe3,Gyu-Kaku Japanese BBQ,Japanese Restaurant
412d2800f964a520df0c1fe3,Central Park,Park
555f2ee0498eb8399e11b60d,The Prism Gym at Park Avenue South,Gym / Fitness Center
4b52042ef964a520826127e3,Five Guys,Burger Joint
5273b599498e5cf889855930,'Essen,Cafeteria
4b5362f1f964a5202d9a27e3,Stop & Shop,Supermarket
4a942a25f964a520972020e3,Ground Support,Coffee Shop
50b9a34ce4b0c22ba965f7ff,Boxers HK Sportsbar,Gay Bar
4f940fe7e4b059d7da88be53,Junction Blvd,Miscellaneous Shop
4b9bbe67f964a520382036e3,Old Brick Furniture,Furniture / Home Store
4a5cc276f964a52087bc1fe3,Naples 45 Ristorante e Pizzeria,Italian Restaurant
54a2c4e8498ed409477c008d,Foolish Farms,Café
4c278d69f1272d7fe45b88c5,Long Beach Boardwalk - Long Beach Road,Beach
4b576d3df964a520173728e3,Battery Park City,Neighborhood
4c1c47d063750f476a6bb667,Dunkin Donuts,Donut Shop
4ab7dc6ef964a5202d7b20e3,American Airlines Admirals Club,Airport Lounge
4c1a866bb4e62d7fd3f1d793,Rosario's Hair Salon,Salon / Barbershop
4ca4c9f9f832a1cdb91ca9e5,Ogilvy CommonHealth WW,Office
5064dcb9e4b0916c4c6106ae,Hu Kitchen,Gluten-free Restaurant
4d40c3adb7c259416a73bbdb,"MTA MaBSTOA Bus at E. 149th Street & Grand Concourse: (Bx1, Bx2, Bx19)",Bus Station
4b6d9298f964a520607d2ce3,Iron Horse NYC,Bar
4ba82484f964a52051ce39e3,The Mills at Jersey Gardens,Shopping Mall
4c0eff1e1281c9b606031e1d,Breifne Pub,Bar
4bd8df990115c9b618ba7580,Boxers NYC,Gay Bar
4bd612ce5631c9b6b646a530,Barnes & Noble,Bookstore
52e7df8511d286d0cb690fac,Free Agent Print,Factory
548b87a1498edc77fcbf745c,Burger & Lobster,New American Restaurant
520b8bb411d273d89fe0b8a1,American Whiskey,Restaurant
412d2800f964a520df0c1fe3,Central Park,Park
56e36969498e13426a54967f,Stout,Bar
4cacf34844a8224b68dc3740,Russian Hall,Dive Bar
42daf100f964a52035261fe3,Battery Park,Park
4b5b8329f964a520bc0329e3,Price Chopper,Supermarket
4c0d1aa7b1b676b0290ce086,Lenape Playground (snake Park),Playground
4b562071f964a520a30128e3,Cheeseburger in Paradise - Secaucus,Burger Joint
4bf686e4004ed13ac19042a0,Eldridge Park Elementary School,Elementary School
568a6cca498ec148228a672d,"Clark Door US, LLC",Office
4c0e4a947189c928b833d8b6,Saab Sensis Corporation,Office
567a40b1498ef19172a0b3cf,The Alcove,Bar
4ecea63d0e61efa32f058829,Hewlett,City
4bfd577fee20ef3be7583c5e,Gate C86,Airport Gate
46ea2358f964a520cf4a1fe3,Lansdowne Road,Pub
4be5dfe9910020a13ea2d314,Brooklyn-Battery Tunnel (Hugh L. Carey Tunnel),Tunnel
4cd7f12a7bb06dcb988d9fb2,VaynerMedia HQ,Tech Startup
53150e2ae4b0e72a36ebde09,Concourse,Neighborhood
4e88841729c2057e361adb1d,Peaceful Valley Maple Farms,Breakfast Spot
510c3347e4b0c502845d8cce,The Atrium Palace Condominium,Residential Building (Apartment / Condo)
437d1980f964a520a82a1fe3,University Club,Social Club
4ab67141f964a5201d7720e3,East Ocean Palace,Dim Sum Restaurant
4bb4d1da86a8d13aecebde7f,Stever's Candies,Candy Store
4ebad1ca61af8c1a07d5fa7e,Chittenango Creek Walking path,Trail
54c5b83c498e9fdb2e35a111,Ho' Brah Taco Joint,Taco Place
4b74da63f964a5204af52de3,Commodore Barry Park,Park
4a652404f964a5205ec71fe3,St. John's University,University
4afcc04cf964a520962522e3,New York Society for Ethical Culture,Community Center
4a5bece4f964a52000bc1fe3,NewYork-Presbyterian/Weill Cornell Medical Center,Hospital
5335d8de11d2720b8790a23d,North Castle,City
4c2131909085d13a6d6984cc,Veteran's Park,Park
4d668c5c838654818c8df953,"Forest Hills, NY",Neighborhood
4c5ccb9d7f661b8d56cc491c,Mobil,Gas Station
55292edf498ea8a3d75ad47d,PushLab Fitness,Recreation Center
4bdb0b8163c5c9b6870b2668,Ralph's Italian Ices,Ice Cream Shop
5362a2ae498e3b18c22334be,Hudson Eats,Food Court
4acb88acf964a52024c420e3,Poets House,Library
4bce5f66937ca593358bae92,Walgreens,Drugstore / Pharmacy
