venue_id,venue_name,veunue_category
4bd045ab41b9ef3bd4b8f9e5,Lehman High School,High School
4c3f09b998ea9c74a896c0b5,NYU 650 1st Ave,Coworking Space
5224b8ba11d21137e81a0b72,Cranberry,Deli / Bodega
4b2043b6f964a5209b2f24e3,Rex Manor,Event Space
4d4d0c5c80cb6dcbbf410b01,"Greenville, NY",Town
421a7600f964a5209b1f1fe3,The Bourgeois Pig,Wine Bar
4b009af0f964a520e53f22e3,Riviera Maya,Mexican Restaurant
4bfe610eb68d0f472b10ea57,Garden State Honda,Automotive Shop
4afa22cff964a520fd1622e3,Washington Heights,Neighborhood
4ba26fedf964a520eaf837e3,Prospect Park Ball Fields,Baseball Field
4cf6609ee308236af9cae5ac,Port Authority Boat Police,Boat or Ferry
4d88f9cfd85f37048f42dddb,Alobar,American Restaurant
47b71fcff964a520b14d1fe3,Light Horse Tavern,American Restaurant
4b565f0ef964a5209a0d28e3,Super Stop & Shop,Supermarket
4fa66e8ae4b0e4baa3615121,ustwo New York,Office
3fd66200f964a52023eb1ee3,Peasant,Italian Restaurant
4bd5d466637ba593c41af770,Capital One Bank,Bank
4b047a60f964a5207e5422e3,"The Lexington NYC, Autograph Collection",Hotel
4a1099f5f964a520e5761fe3,Rhythm & Booze,Sports Bar
4b6cd947f964a520ee582ce3,Gnarly Vine Wine Bar,Wine Bar
4df224c4c65bf55ee52637ec,Mizuho Bank Ltd.,Professional & Other Places
4cd969f33ec4b1f72b7fc33f,"Pelham Manor, NY",City
4c4f53cfbec4d13a5e610c62,Rahway Farmers Market,Farmers Market
42911d00f964a520f5231fe3,New York Penn Station,Train Station
4e8a3e859a524097dc0ebc2d,Dunkin' Donuts,Donut Shop
4b3fa52cf964a52021ab25e3,Dunkin Donuts,Donut Shop
4bc011c02a89ef3b4e24f088,Raritan Bay - Perth Amboy,Hospital
4ff1b197c593c9d1f5b633f6,Speedway,Gas Station
4e9cb6a1b6348df6f6df0c64,Pound Ridge Wine & Spirits,Liquor Store
5289f48f498ec175731e0d7d,MTA Bus - Q70 Limited,Bus Line
43680180f964a5207f291fe3,College of Mount Saint Vincent,University
4dfe397c62848aca58a20afd,Big Deep,Lake
4cdb2567930af04de1038997,5 Below,Department Store
4c62e688e1621b8dac962453,Easter Seals Camp Merry Heart,Campground
4eaa776e4fc6d0cb8bba966e,Wakefield,Neighborhood
41156d00f964a520f40b1fe3,Metropolitan,Gay Bar
4bc8ff5bfb84c9b6f8471a3e,Western Beef,Grocery Store
4b4a2e99f964a520ac7d26e3,Murray Hill,Neighborhood
4f06e96ae4b039f5ab47d311,Bus Stop 483,Bus Line
4ab5698ef964a520767420e3,Theatre 80,Performing Arts Venue
50551da7e4b04495bd22ec89,West Main Supermarket,Deli / Bodega
5258d941498e6380eaeb3cee,Black Bear Bar,Bar
5424b59d498e51842d206734,fran's yacht,NA
4dd480081f6ec4e0bb7c5af8,Lenox Terrace - The Fontainbleu,Residential Building (Apartment / Condo)
4e5bf988a809216313faab00,Tire kingdom,NA
4ca38721d7c337043fc0a162,"Paramus, NJ",City
4b8bfeabf964a52029b732e3,McDonald's,Fast Food Restaurant
4c0cfdbb7189c9281544d6b6,1133 Avenue Of The Americas,Office
56226276498ee4a64edd5682,Stop & Shop,Supermarket
4adfbedbf964a5202e7d21e3,State Street Grill,Diner
4c2f78217cc0c9b6efc0eb9a,Despana Brand Foods,Gourmet Shop
4a5a4eb2f964a52021ba1fe3,Central Park - North Meadow,Park
42474900f964a52078201fe3,BAR-Coastal,Bar
4d042c5b28926ea811226ac2,King Cole Bar,Cocktail Bar
534812c9498ea391fbd552eb,Paintbox,Nail Salon
540ce9d0498e8ef1a0ad6a85,Burger Village,Burger Joint
4b3bd808f964a5206c7c25e3,Green Cafe,Café
4ca3394ffcaebfb75cf4c084,Oren's Daily Roast,Coffee Shop
4bd227559854d13a6617fb4d,Weequahic Park,Park
4de54677e4cde71744a4fba8,AppNexus,Tech Startup
4b8cbe90f964a52000dc32e3,Walmart,Big Box Store
4a84eb0af964a520e1fd1fe3,Starbucks,Coffee Shop
4569264af964a520de3d1fe3,Home Sweet Home,Nightclub
4b6755a4f964a520b4482be3,Ben & Jerry's,Ice Cream Shop
4c5f529ab6f3be9a8f085d73,"Queens Village, NY",Neighborhood
4dd8645bb0fb8af3809f5226,"Cinnaminson, NJ",City
4d9f2d0cd055a090fbb10b3c,SUBWAY,Sandwich Place
54f88aca498ef5878dd99edd,City Kitchen,Food Court
4c3893031e06d13a7aeb773e,Beny's Delice,Bakery
4a3ee14ef964a52085a31fe3,Maya,Latin American Restaurant
4b020207f964a520294722e3,Boston Consulting Group,Office
4bbb8a5d51b89c745857862a,Petro Stopping Center,Gas Station
4ebe8b3329c25ce5a16352e5,Earl's Hot Tub Time Machine,Theme Park
4a676294f964a5204ec91fe3,News Corp Building,Office
4d004d2f202e224bd8fab22a,New York Burger Co,Burger Joint
4c5463c31b46c9b6868984ce,Witty's Fine Wines & Liquors,Liquor Store
4c6a888e2c29d13ab3f10d41,ABVI Call Center,Coworking Space
4dfe4e532271043ca80999d4,"Whiting, NJ",City
4ba52663f964a52038e438e3,Coffee Culture,Coffee Shop
44704e4df964a5208e331fe3,Cocoa Bar,Café
53be8d24498e45bc977e1b10,Dunkin Donuts,Donut Shop
50ad5dd5e4b02888e5edc352,Southwest NY,Mexican Restaurant
4dd7c0afd1647fcf3e518ff3,Smorgasburg Williamsburg,Street Food Gathering
