venue_id,venue_name,veunue_category
4ea341fc93ad755e37544244,Bronx Documentary Center,Art Gallery
4df50316ae609e69dd9ef3a3,Oakland's Restaurant & Marina,Food
4b54b759f964a520a0c827e3,Apple Pie Bakery Café,Café
4ae8ccbff964a52068b221e3,The Juilliard School,School
516894c0e4b0d88c2c7d9186,master auto Installation,Automotive Shop
4c76d25ca5676dcb60b81621,Trendy Hair & Nail Spa,Cosmetics Shop
4a4821f5f964a52095aa1fe3,Lincoln Tunnel,Tunnel
4aa5571ef964a520094820e3,Chelsea Piers Golf Club,Golf Course
4ec0a81fb6341cd41f1ef402,Minskoff Theatre,Theater
51d361d6498ea6250df6761d,Refinery Rooftop,Lounge
49dc27aff964a520615f1fe3,Bistro 61,French Restaurant
4bbe1d36061fb71316c0edce,SUBWAY,Sandwich Place
561281ca498e190f2132ba56,Freeman New York,Office
4c5ec4e67735c9b6119c9272,Rite Aid,Drugstore / Pharmacy
4fef71dae4b094d300ea68cc,Better Than Philly Cheesesteaks,Sandwich Place
4ca475ed5720b1f799053aef,The Route 539 Patriotic Rock,Other Great Outdoors
5255b5ca11d2d09081961e9a,BlackHearts CrossFit,Gym
4dab7425fa8cc764974da770,Bedford-Stuyvesant,Neighborhood
4af83ea9f964a5209a0b22e3,Mermaid Oyster Bar,Seafood Restaurant
4ba40095f964a520957638e3,Genesee County Park and Forest,Park
4d80b23370d18cfa6e96a194,New York City Criminal Court,Courthouse
4af4301af964a5207af021e3,"Spring Ob/Gyn, PC",Doctor's Office
5663a0b4498e5501faeba23c,One77,Lounge
4bca00ed937ca593a9d7a692,Marders Landscaping and Nursery,Garden Center
4d1eb33e8629224b235a0587,"Rutherford, NJ",City
4d8f83091d06b1f760f3603b,BP,Gas Station
52698f5911d23c1c66d64564,Pepe Rosso Social,Italian Restaurant
3fd66200f964a52070e91ee3,Balthazar,French Restaurant
4b967ba0f964a52008cf34e3,Pep Boys Auto Parts & Service,Automotive Shop
4a43c0aef964a520c6a61fe3,Verrazano-Narrows Bridge,Bridge
4c013a0bde3376b03a77f9a4,Sam's Point Preserve,Trail
4af70f4af964a520590522e3,FusionArts Museum,Museum
53e9237a498ec827c419589f,Great Neck,City
